Label	Trait	Trait_class	Trait_long	Delta_PC1	Delta_PC2	Delta_PC3	Delta_PC8	Delta_PC9	Delta_PC12	Delta_PC13	stars_PC1	stars_PC2	stars_PC3	stars_PC8	stars_PC9	stars_PC12	stars_PC13	DPMUnc
ANCA negative EGPA	EGPAANCAn_Lyons_31719529_1	IMD	ANCA negative EGPA	0.0244418287308232	-0.00242809233456412	-0.00126620161450611	-0.00121028149768304	-0.0249551480113851	0.0167578333789805	0.08939185541658	""	""	""	""	""	""	●	6
Adult-onset Asthma	ASTAO_Ferreira_30929738_1	IMD	Adult-onset Asthma	-0.00452129785373508	-0.0013635850745751	-0.00240605372998287	0.00297735385513918	-0.00727847807201694	0.00751732709253105	0.0289753320820102	●	""	""	○	●	●	●	2
Anaphylactic shock due to adverse effect of  [...]	ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE_FinnGen_FinnGenR7_1	IMD	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered (FinnGen)	-0.0279769019526595	0.0131218209913561	-0.0372392399737974	-0.0105651690283296	-0.0301600132361373	0.00654672237585262	0.0309253098419961	""	""	○	""	""	""	○	2
Ankylosing spondylitis	M13_ANKYLOSPON_FinnGen_FinnGenR7_1	IMD	Ankylosing spondylitis (FinnGen)	-0.0198420182518062	0.00744722015845306	-0.017651521576503	0.00715502648853916	-1.86296937369065e-05	-0.00323008329932087	0.018253628932427	●	""	●	""	""	""	●	5
Arthropathic psoriasis	L12_PSORI_ARTHRO_FinnGen_FinnGenR7_1	IMD	Arthropathic psoriasis (FinnGen)	0.0106295414547069	0.00697690877716794	-0.0113206493424006	-0.00760252221411241	-0.00213989735489754	-0.0103837567719377	0.0132140604939539	○	""	○	""	""	○	●	5
Asthma	ph495_PanUKBB_PanUKBBR2_1	IMD	Asthma (UKBB)	-0.00448617826369816	0.000784162750753056	-0.00567158612811689	0.00217342466537221	-0.0082600281490194	0.0085254203142121	0.0315313043638225	●	""	●	""	●	●	●	2
Atopic Dermatitis	ATD_Paternoster_26482879_1	IMD	Atopic Dermatitis	-0.00756901429166398	0.0117376119971368	-0.0026337298636892	0.00601539888196055	0.00150216539656664	0.00611199225869535	0.019055488548596	○	●	""	○	""	○	●	2
Autoimmune Addison's disease	AAD_Eriksson_33574239_1	IMD	Autoimmune Addison's disease	0.0558506365948349	-0.0245804429939736	-0.0298559627071679	-0.0350176769989746	0.0101309265552862	-0.0286934090507481	0.0220957182241984	●	●	●	●	""	●	●	3
Autoimmune Thyroid disease	AITD_Saevarsdottir_32581359_1	IMD	Autoimmune Thyroid disease	0.0351980133534583	-0.0111756877684188	-0.0257012581426631	-0.0179471459704833	-0.00453549808269976	-0.0162075502203953	0.0155667967884763	●	●	●	●	●	●	●	1
Autoimmune thyroiditis	E4_THYROIDITAUTOIM_FinnGen_FinnGenR7_1	IMD	Autoimmune thyroiditis (FinnGen)	0.0562263806153745	-0.0268330321625736	-0.036079925536477	-0.0218876379804582	-0.00921928482830659	-0.0392351488480333	0.017707088245278	●	""	●	""	""	●	""	1
Biological medication for rheuma	RX_RHEUMA_BIOLOGICAL_FinnGen_FinnGenR7_1	IMD	Biological medication for rheuma (FinnGen)	0.0067708670856748	0.00618277052781814	-0.0309990976084798	-0.0135381651488465	-0.0162288500824155	-0.0214789720005979	0.0209861328321147	""	""	●	●	●	●	●	1
CR(E)ST syndrome	CREST_FinnGen_FinnGenR7_1	IMD	CR(E)ST syndrome (FinnGen)	0.00935616356665313	0.0552036591325303	-0.0341255969173084	-0.0114249729730281	-0.00282350991137272	-0.00527093898536057	0.0170703280908774	""	●	○	""	""	""	""	1
Certain disorders involving the immune mechanism	D3_IMMUNEMECHANISM_FinnGen_FinnGenR7_1	IMD	Certain disorders involving the immune mechanism (FinnGen)	0.00161941891533655	-0.00487432398408263	-0.0181721262188333	-0.00515497602248264	-0.00169311203921946	-0.0097356077327409	0.0137779845848649	""	""	●	""	""	●	●	5
Childhood-onset Asthma	ASTCO_Ferreira_30929738_1	IMD	Childhood-onset Asthma	-0.0134140638708576	0.00447402219833861	-0.000144210686032292	0.00714969830703533	-0.00728342555718473	0.0210705410685983	0.0532716187263867	●	○	""	●	●	●	●	2
Coeliac disease	K11_COELIAC_FinnGen_FinnGenR7_1	IMD	Coeliac disease (FinnGen)	0.00320742674223514	-0.0070028206082871	-0.0220147584768008	-0.00125372847693853	0.00257774881279698	-0.01423067639376	0.0155203683507458	""	""	●	""	""	●	●	5
Crohn's Disease	CD_Liu_26192919_1	IMD	Crohn's Disease	-0.0959539980378556	0.00945067804182125	-0.0893406317562897	0.00396141654965259	0.00945480962996803	-0.0362316572594679	0.0347777728548697	●	○	●	""	○	●	●	4
Dermatomyositis (Miller)	DMY_Miller_26291516_1	IMD	Dermatomyositis	0.0365526791708771	0.0191026879475786	-0.00732944192855851	-0.0105742423942562	-0.0160443500191595	-0.0211045663832031	0.0199478310384723	●	""	""	""	""	○	○	1
Dermatomyositis (Rothwell)	DMY_Rothwell_up_1	IMD	Dermatomyositis	0.030766485978193	0.0148999305929843	-0.0170767081287693	-0.0049763491605066	-0.0187082367709903	-0.023800583859724	0.00444430057028076	●	""	""	""	""	●	""	1
Diabethic neuropathy	G6_DIABETNEUR_FinnGen_FinnGenR7_1	IMD	Diabethic neuropathy (FinnGen)	0.0249916836830932	-0.0158123803473415	-0.0180690621857541	-0.00815017461065935	-0.00437855407696457	-0.00535792877267768	0.00869760729013801	●	●	●	""	""	""	""	5
Diabetic nephropathy	DM_NEPHROPATHY_FinnGen_FinnGenR7_1	IMD	Diabetic nephropathy (FinnGen)	0.0215559094560361	-0.0111653403284863	-0.0184420134503133	-0.0119833134095824	0.00583219160904873	-0.00933819942679729	0.0110195434496335	●	○	●	●	""	○	●	5
Diabetic retinopathy	DM_RETINOPATHY_FinnGen_FinnGenR7_1	IMD	Diabetic retinopathy (FinnGen)	0.0128212904300488	-0.00769128117983746	-0.0112649192376728	-0.00672701950497018	0.00163837658278953	-0.00179974081478753	0.00583996201910058	●	●	●	●	""	""	●	5
Diseases of the blood and blood-forming orga [...]	D3_BLOOD_FinnGen_FinnGenR7_1	IMD	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (FinnGen)	0.00351366550737127	0.00109657588065329	-0.00952496477173091	-0.00354730836195634	-0.000302878299878719	-0.00578944374586818	0.00778626231890514	○	""	●	○	""	●	●	5
Early-onset Myastenia Gravis	MYGEO_Renton_25643325_1	IMD	Early-onset Myastenia Gravis	0.0488288613329739	0.0134306850069216	-0.041664333307802	-0.0434862244157632	-0.0275456290190406	-0.0390634821294739	0.0249602416588528	●	""	○	○	""	○	""	1
Eosinophilic Esophagitis	EOE_Chang_34506852_1	IMD	Eosinophilic Esophagitis	-0.0180345613240588	0.0064152639331008	-0.00238277758478438	0.00221058339604369	-0.00698477822558396	0.0156937825223268	0.0335128243277453	●	""	""	""	""	●	●	2
Eosinophilic Granulomatosis with Polyangiitis	EGPA_Lyons_31719529_1	IMD	Eosinophilic Granulomatosis with Polyangiitis	0.0242212039205782	-0.00761025755126761	-0.00564641767871593	-0.0086653443765709	-0.0197976826455156	0.0133933397849721	0.0779290574660404	○	""	""	""	""	""	●	6
Erythema nodosum	L12_ERYTHEMANODOSUM_FinnGen_FinnGenR7_1	IMD	Erythema nodosum (FinnGen)	-0.00731973913037201	0.00460870771514225	-0.0293007555588726	-0.0079454765844942	-0.00138539393272464	-0.0231916027122395	0.00767703828426269	""	""	●	""	""	○	""	5
Felty syndrome	FELTY_FinnGen_FinnGenR7_1	IMD	Felty syndrome (FinnGen)	0.0676577635063689	0.0220133355978336	0.0113829873943722	-0.0310509769521901	-0.0209359342104514	-0.0129678178712434	0.0421817448262881	●	""	""	""	""	""	○	1
Glomerulonephritis	N14_GLOMER_NEPHRITIS_FinnGen_FinnGenR7_1	IMD	Glomerulonephritis (FinnGen)	-0.00312852224462845	-0.00235823695871781	-0.0175698950692394	-0.0142997131292421	-0.0120088255198334	-0.0110207205460192	0.00790585671242383	""	""	●	○	""	""	""	5
Gout	GOUT_FinnGen_FinnGenR7_1	IMD	Gout	-0.00294930046506158	-0.000135198034376218	-0.00427925455504477	-0.00964755389929063	-0.000224927556891903	-0.00265698980668532	0.00328084287247464	""	""	""	●	""	""	""	5
Hayfever/Allergic Rhinitis	20002_1387_PanUKBB_PanUKBBR2_1	IMD	Hayfever/Allergic Rhinitis (UKBB)	-0.00906855336645292	0.00235263905162959	-0.000576837305932741	0.00555957795038169	-0.00342335574889634	0.00981626793060481	0.0235786209517838	●	""	""	●	""	●	●	2
Hyperthyroidism/Thyrotoxicosis	20002_1225_PanUKBB_PanUKBBR2_1	IMD	Hyperthyroidism/Thyrotoxicosis (UKBB)	0.0362657708831385	-0.0120945863396323	-0.0305222532711601	-0.00975281339593894	-0.012852120157254	-0.0215126947308154	0.0247831216789696	●	●	●	○	●	●	●	1
Hypothyroidism (congenital or acquired)	HYPOTHYROIDISM_FinnGen_FinnGenR7_1	IMD	Hypothyroidism (congenital or acquired) (FinnGen)	0.0240574060263227	-0.00818408978703775	-0.0189326014410939	-0.015716276075661	-0.00106705852445685	-0.0137386476127493	0.0130993714673646	●	●	●	●	""	●	●	1
IIM (Miller)	MYO_Miller_26291516_1	IMD	Myositis	0.0319079226582054	0.0174111966521163	-0.0145717087123855	-0.0158826288688629	-0.0183668980794707	-0.0209299044977078	0.0238693927911937	●	○	○	○	○	●	●	1
IIM (Rothwell)	IIM_Rothwell_up_1	IMD	Idiopathic Inflammatory Myopathies (IIM, Myositis)	0.0237136752337437	0.0251764901144431	-0.0225982842476462	-0.015680305763524	-0.0158438039401078	-0.024000841786425	0.0106751344668466	●	●	●	●	●	●	○	1
Idiopathic thrombocytopenic purpura	D3_ITP_FinnGen_FinnGenR7_1	IMD	Idiopathic thrombocytopenic purpura (FinnGen)	-0.0121608448179385	0.0111814747493477	-0.0319209295486622	-0.0189397142800229	-0.010507406037629	-0.0163878116635046	0.0147575157576254	""	""	●	""	""	""	""	1
IgA deficiency	IGAD_Bronson_27723758_1	IMD	IgA deficiency	0.025552794470808	-0.0206470064849665	-0.0271604096910349	-0.0093738594323978	0.0131012065991453	-0.00919775719313313	0.0125343603150418	●	●	●	""	""	""	""	5
IgG+ Neuromyelitis Optica	NMOIGGp_Estrada_29769526_1	IMD	IgG+ Neuromyelitis Optica	0.0584671471094804	0.0507540900619245	0.00112290817865826	-0.0457556808831488	-0.0152920799254577	-0.0462322576644375	0.0218510256450803	○	""	""	""	""	○	""	1
Inflammation of eyelids	ph371.3_PanUKBB_PanUKBBR2_1	IMD	Inflammation of eyelids (UKBB)	-0.00940411284206456	-0.00234101384463371	-0.0142337066918328	0.00292559453791595	-0.00535042014064186	-0.00866930126989802	-0.00259819304360485	""	""	●	""	""	○	""	5
Inflammatory Bowel Disease	IBD_Liu_26192919_1	IMD	Inflammatory Bowel Disease	-0.0826691990549525	-0.00285425213154936	-0.0763511643224436	-0.0153972396124611	-0.000347549398592066	-0.0204636092358523	0.0340394401117103	●	""	●	●	""	●	●	8
Jo1+ Myositis (Rothwell)	JO1M_Rothwell_up_1	IMD	Jo1+ Myositis	0.0357197488058217	0.0294998221592257	-0.0470448161312001	-0.0285912136818053	-0.0485682449318145	-0.0019482765828648	0.0122817024665042	○	""	●	○	●	""	""	1
Juvenile Dermatomyositis (Miller)	JDM_Miller_26291516_1	IMD	Juvenile Dermatomyositis	0.0358542873283106	0.00834015759938944	-0.0071625791496283	-0.0164732074837843	-0.00761886616398467	-0.0278417042710007	0.012727807187352	●	""	""	""	""	○	""	1
Juvenile Dermatomyositis (Rothwell)	JDM_Rothwell_up_1	IMD	Juvenile Dermatomyositis	0.01741134398258	0.0201178702537312	-0.00306904688515726	-0.00107942100249465	-0.00402720602386767	-0.0349663668461803	-0.00605478144563223	""	""	""	""	""	●	""	1
Juvenile Idiopathic Arthritis	JIA_LopezIsac_33106285_1	IMD	Juvenile Idiopathic Arthritis	0.0306504706407479	0.0211239164493402	-0.037977721694144	-0.0183083130181582	-0.00485589670035232	-0.0300278968609654	0.0206391396356745	●	●	●	●	""	●	●	1
Juvenile rheuma	M13_JUVERHEU_FinnGen_FinnGenR7_1	IMD	Juvenile rheuma (FinnGen)	0.00887278185400801	-0.000961813406488478	-0.036789929132562	-0.0176368633941388	-0.00757034350335152	-0.0250721902700091	0.0295067473412964	""	""	●	""	""	●	●	1
Late-onset Myastenia Gravis	MYGLO_Renton_25643325_1	IMD	Late-onset Myastenia Gravis	0.0399028511469314	-0.00174002419230052	-0.045695050995649	-0.0197866262968146	-0.019778125839222	-0.0106159375178327	-0.00614181158276917	●	""	●	""	""	""	""	1
Lichen planus	L12_LICHENPLANUS_FinnGen_FinnGenR7_1	IMD	Lichen planus (FinnGen)	0.011113268569994	-0.0184145433866144	-0.0148176088657284	-0.0053191764292153	0.00553396839947187	-0.00274315680425049	0.0121807965609634	○	●	●	""	""	""	●	5
Lichen sclerosus et atrophicus	L12_LICHENSCLERATROPH_FinnGen_FinnGenR7_1	IMD	Lichen sclerosus et atrophicus (FinnGen)	0.00519615253501712	-0.00536831991313086	-0.0203355721288483	-0.00253662651895931	-0.00385700262559578	0.0049439511059083	0.0136490248429814	""	""	●	""	""	""	○	5
Localized scleroderma [morphea]	L12_LOCALSCLERODERMA_FinnGen_FinnGenR7_1	IMD	Localized scleroderma [morphea] (FinnGen)	0.00862884874724186	0.00786156755521955	-0.0480475633092846	-0.0122965078266424	-0.00763081734846661	0.0204745893151683	0.0106249344535232	""	""	●	""	""	""	""	5
MPO+ AAV	AAVMPO_Wong_up_1	IMD	MPO+ AAV	0.0502600164296128	0.00526181553553279	-0.0126238543150815	-0.0170174862068695	-0.0240133165878896	-0.0351730449587527	0.0216242419369606	●	""	""	""	○	●	○	1
MPO+ EGPA	EGPAMPO_Lyons_31719529_1	IMD	MPO+ EGPA	0.0266127089648714	-0.0170104070903438	-0.0193818510937582	-0.020079960093895	-0.0148151761952559	0.0138403992876167	0.073992958965258	""	""	""	""	""	""	●	6
Multiple Sclerosis	G6_MS_FinnGen_FinnGenR7_1	IMD	MS-disease / Multiple Sclerosis (FinnGen)	0.00679547378752651	0.0184886530877205	0.0091291241084543	0.0224169438711902	0.0242168859553332	-0.0326722109052566	0.0202393738779682	""	●	""	●	●	●	●	7
Myastenia Gravis	MYG_Chia_35074870_1	IMD	Myastenia Gravis	0.0365222844080723	-0.00483165612131375	-0.0280566658535115	-0.0196135869563432	-0.00980335519476925	-0.0132369962329079	0.00378380086380454	●	""	●	●	""	○	""	1
Nasal polyp	J10_NASALPOLYP_FinnGen_FinnGenR7_1	IMD	Nasal polyp (FinnGen)	-0.00159065575748621	-0.0130507285037491	-0.0111167702748411	0.00245871552178069	-0.0122312856816664	0.0107808166361299	0.0413962820828575	""	●	●	""	●	●	●	2
Other and unspecified disorders involving th [...]	D3_IMMUNEMECHANISMNAS_FinnGen_FinnGenR7_1	IMD	Other and unspecified disorders involving the immune mechanism, not elsewhere classified (FinnGen)	-0.0143161050512846	0.00223628450974464	-0.000358288402795313	-0.0273057983354584	-0.011689625178755	-0.0159547656649004	0.0277524205327498	""	""	""	●	""	""	●	5
PR3+ AAV	AAVPR3_Wong_up_1	IMD	PR3+ AAV	-0.0010916969442149	0.00357814445452167	-0.0181342247339253	-0.0116699909210004	-0.0242862394673767	-0.00940329095557798	0.0197531720256132	""	""	●	""	●	""	●	1
Palindromic rheumatism	M13_PALINDROMIC_FinnGen_FinnGenR7_1	IMD	Palindromic rheumatism (FinnGen)	0.0223573195017818	-0.0216514953186945	-0.0446254530851849	0.00138574258704648	-0.0216193913854761	-0.0223841539832221	0.0268235384974794	""	""	●	""	""	""	""	1
Peripheral atherosclerosis	DM_PERIPHATHERO_FinnGen_FinnGenR7_1	IMD	Peripheral atherosclerosis (FinnGen)	0.00861132561874281	0.00125932152303982	-0.000222428206776135	0.0011520756400812	-0.00291936602324059	-0.00379944991039023	0.0050472082700234	●	""	""	""	""	""	○	5
Polymyalgia rheumatica	M13_POLYMYALGIA_FinnGen_FinnGenR7_1	IMD	Polymyalgia rheumatica (FinnGen)	0.0121941533523615	0.00338450200376559	-0.0104513013880521	-8.23344694792939e-05	-0.00420829665577461	-0.010376281095426	0.0120644852495622	○	""	○	""	""	○	●	5
Polymyositis (Miller)	PM_Miller_26291516_1	IMD	Polymyositis	0.0326453424151247	0.0210436188104401	-0.028144866974797	-0.0234185730659655	-0.0312350513324216	-0.0110657881629549	0.041260551184644	○	""	○	""	○	""	●	1
Polymyositis (Rothwell)	PM_Rothwell_up_1	IMD	Polymyositis	0.0186546184122789	0.0285479025423206	-0.0320616216310246	-0.0200812966750596	-0.0235608811482154	-0.0122588738847258	0.0173774816689114	○	●	●	○	●	""	○	1
Primary biliary cholangitis	CHIRBIL_PRIM_FinnGen_FinnGenR7_1	IMD	Biliary chirrosis, primary (FinnGen)	0.0247258810317517	0.0432402878532041	-0.0422187794589661	-0.0320140847966917	-0.0160246538423636	-0.0167563908888858	0.0164982182626397	○	●	●	●	""	""	""	1
Primary sclerosing cholangitis	K11_CHOLANGI_FinnGen_FinnGenR7_1	IMD	Cholangitis (sclerosing) (FinnGen)	-0.0123558190051007	-0.00168002339973868	-0.0108787604663009	-0.0187407965308007	-0.0029551464223964	-0.0109212344551027	0.0198638625141907	""	""	""	●	""	""	●	5
Psoriasis	L12_PSORIASIS_FinnGen_FinnGenR7_1	IMD	Psoriasis (FinnGen)	0.000769809501315371	0.00183692038771242	-0.00949212105958957	-0.00452885985766064	0.00246704580995186	-0.00893854009510487	0.00821491899686084	""	""	●	""	""	●	●	5
Rheumatoid Arthritis	RA_Ishigaki_36333501_3	IMD	Rheumatoid Arthritis	0.0386716776368505	0.005653822398189	-0.0326749460713117	-0.0200862466092067	-0.0505649986850324	-0.0346880434175167	0.0243644702442265	●	●	●	●	●	●	●	9
Rosacea	L12_ROSACEA_FinnGen_FinnGenR7_1	IMD	Rosacea (FinnGen)	-0.0108640600687779	0.00904267945361283	-0.0243307570614108	0.00103117715696809	0.00186872939724199	-0.00508750977488384	0.00334440757648508	""	""	●	""	""	""	""	5
Sarcoidosis	D3_SARCOIDOSIS_FinnGen_FinnGenR7_1	IMD	Sarcoidosis (FinnGen)	0.00457318077231963	-0.00741129016075751	-0.0211427777751739	-0.00304384509644686	-0.00224508761746785	-0.0120744221058136	0.0103709676550285	""	""	●	""	""	●	○	5
Sjögren's syndrome	SJOS_Lessard_up_1	IMD	Sjögren's syndrome	0.0307116884639502	0.0464975727536448	-0.0184938928844615	-0.0146342409203744	-0.0098369171685346	-0.0193623674284714	0.0125337440918562	●	●	●	●	""	●	●	1
Systemic Lupus Erythematosus	SLE_Julia_29848360_1	IMD	Systemic Lupus Erythematosus	0.0808027831569888	0.115713789408134	-0.0534816659165025	-0.0168647854075545	0.014960795881125	-0.0187493956411573	0.0259027179018688	●	●	●	●	●	●	●	10
Systemic Sclerosis	SSC_LopezIsac_31672989_1	IMD	Systemic Sclerosis	0.0324097915879047	0.0469222857056575	-0.0142017137017052	-0.012354713673027	-0.0119418937247326	-0.0230115040082036	0.018003967785029	●	●	●	●	○	●	●	1
Type 1 Diabetes	T1D_Chiou_34012112_1	IMD	Type 1 Diabetes	0.0515193753338656	-0.0232775246149148	-0.0524853242688054	-0.0315776216353861	0.0182029182983956	-0.0150067476043743	0.0328365271372024	●	●	●	●	●	●	●	3
Type 2 diabetes	E4_DM2_FinnGen_FinnGenR7_1	IMD	Type 2 diabetes (FinnGen)	0.00725720828976297	-0.004251233269554	-0.000897269339712816	-0.000650616441935542	0.000439261691460781	-0.00517051660122438	0.00260299063606445	●	●	""	""	""	●	○	5
Ulcerative Colitis	UC_Liu_26192919_1	IMD	Ulcerative Colitis	-0.0725135341082935	-0.0113716648535881	-0.0665262693755549	-0.0302581711372553	-0.00560948845844754	-0.00860527078027551	0.0326868828227851	●	●	●	●	""	○	●	8
Vitiligo	L12_VITILIGO_FinnGen_FinnGenR7_1	IMD	Vitiligo (FinnGen)	0.0476841363294163	-0.0333775885857772	-0.0346852116041889	-0.0384467827409304	-0.00117824532751783	-0.0346930026548559	0.0315584391198359	●	""	○	○	""	○	""	3
Wegener granulomatosis	M13_WEGENER_FinnGen_FinnGenR7_1	IMD	Wegener granulomatosis (FinnGen)	0.0104881894778562	0.0142934498315047	-0.0393016545413483	-0.0210698449302233	-0.0079712444485855	-0.00783222874581243	0.0158124657117764	""	""	●	""	""	""	""	1
