pid	trait.myos	fdr.myos	trait.other	fdr.other	pairwise_fdr	chr	bp	nsnps	H0	H1	H2	H3	H4	bestsnp	bestsnp.pp	pbest.myos	pbest.other	pbest.myos.region	pbest.other.region	driver	pdriver.myos
10:6064303	IIM (R)	0.0225633600754077	HypoThy	4.58364152677746e-11	0.02256336012021	10	6064303	3292	2.03806890656269e-08	6.0778269429484e-09	0.717172521652914	0.213781326689045	0.0690461251995242	10:6049054	0.484107543488902	0.116622	9.16854e-15	0.000579449	9.16854e-15	PC2, PC12, PC13	0.00117628891388381
10:6064303	IIM (R)	0.0225633600754077	RA	2.82246686702998e-06	0.0225661188579385	10	6064303	3292	0.00274837586974514	0.00081960687672031	0.324874203013431	0.0961300650433025	0.575427749196801	10:6056986	0.6192016232038	0.000583929	1.83181e-08	0.000579449	1.83181e-08	PC2, PC12, PC13	0.00117628891388381
10:6064303	IIM (R)	0.0225633600754077	HyperThy	0.000362303215964649	0.0229174885134541	10	6064303	3396	0.0593328807686961	0.018518221451855	0.620971792735893	0.193693723692558	0.107483381350998	10:6056986	0.242316195064733	0.000583929	1.08143395129794e-05	0.000579449	1.23594743344451e-07	PC2, PC12, PC13	0.00117628891388381
10:6064303	IIM (R)	0.0225633600754077	JIA	0.000715948257343695	0.0232631541344256	10	6064303	3327	0.041073581732927	0.0126260534476647	0.582527166159066	0.178699191066697	0.185074007593646	10:6056986	0.789228183094609	0.000583929	1.28033e-06	0.000579449	1.28033e-06	PC2, PC12, PC13	0.00117628891388381
11:118871133	IIM (R)	0.042497461971153	SSc	1.49561500000001e-05	0.0425117825227371	11	118871133	1707	1.39834618679843e-06	3.35766757424262e-07	0.661257557770381	0.158418567971283	0.180322140145391	11:118771376	0.0995484184207573	0.00832538	2.118e-11	0.000738446	2.079e-11	PC2, PC9, PC12, PC13	0.00251762215468916
11:118871133	IIM (R)	0.042497461971153	SjS	0.000190554349917061	0.0426799182448311	11	118871133	2442	0.0176073792752721	0.00643494995728818	0.472838952546176	0.172145997747075	0.330972720474188	11:118823838	0.157385535944263	0.00161154	6.802e-07	0.000738446	6.802e-07	PC2, PC9, PC12, PC13	0.00251762215468916
11:35268272	IIM (R)	0.014244100825671	HypoThy	7.28603287908692e-09	0.0142441080079209	11	35268272	2546	1.49923028105381e-06	7.03280129671224e-06	0.142206481067862	0.666763572494469	0.191021414406092	11:35229771	0.0434713102613007	0.0155982	1.3671e-11	2.21943e-06	1.3671e-11	PC2, PC13	0.00058858994427461
11:64329761	IIM (R)	0.00741647580986802	HypoThy	0.00137318872246177	0.0087794803113872	11	64329761	1116	0.343742355641282	0.205158493601774	0.057685350781551	0.0337093995056608	0.359704400469732	11:64340263	0.383194033132886	8.71564e-05	2.80614e-05	8.71564e-05	2.80614e-05	PC8, PC9, PC12, PC13	0.000193320459498929
11:64329761	IIM (R)	0.00741647580986802	JIA	0.0192450292808076	0.0265187747965544	11	64329761	1153	0.444627060517357	0.282922521370628	0.0612610030403183	0.0386361408405143	0.172553274231183	11:64340263	0.204112360621996	8.71564e-05	0.000513273	8.71564e-05	0.000513273	PC8, PC9, PC12, PC13	0.000193320459498929
11:64329761	IIM (R)	0.00741647580986802	SjS	0.0256440823680498	0.032870369461369	11	64329761	933	0.318086409985635	0.186880308114303	0.0997052045884011	0.0579033820873486	0.337424695224312	11:64369120	0.112692354838236	0.000137936	0.0001951	8.71564e-05	0.000185	PC8, PC9, PC12, PC13	0.000193320459498929
1:113834946	IIM (R)	4.27177528723789e-05	HypoThy	3.29332994615147e-150	4.27177528723455e-05	1	113834946	2214	1.58467318650794e-149	5.36315212621313e-148	0.000130319204381009	0.00241560199688194	0.997454078798712	1:113834946	0.999673991457701	1.62873e-07	6.60693e-153	1.5712e-07	6.60693e-153	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	RA	9.96551927055028e-70	4.27177528723455e-05	1	113834946	2214	2.71493889256308e-69	9.18841210803554e-68	0.000130298465850396	0.00241489867600131	0.997454802858157	1:113834946	0.994991485812531	1.62873e-07	2.00124e-72	1.5712e-07	2.00124e-72	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	HyperThy	4.28134171295523e-15	4.27177528766753e-05	1	113834946	2290	4.05690514288368e-15	1.37740659070717e-13	0.000105368176710279	0.00194830920058335	0.997946322622566	1:113834946	0.707796700293933	1.62873e-07	1.69824365246175e-17	1.5712e-07	1.69824365246175e-17	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	JIA	1.12884377929591e-10	4.271786575194e-05	1	113834946	2258	1.55689171846673e-11	5.28710552249449e-10	0.00012718537525196	0.00232403711612667	0.997548776964342	1:113761186	0.709188807500362	1.5712e-07	9.18495e-14	1.5712e-07	9.18495e-14	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	MG	3.59520212941613e-08	4.27537033578229e-05	1	113834946	2206	1.08405049910948e-08	3.67917163587387e-07	7.89230872983144e-05	0.00145639453940063	0.998464303615631	1:113834946	0.611344570925641	1.62873e-07	7.949e-11	1.5712e-07	7.949e-11	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	MPO+ AAV	0.000702719914018709	0.000745407648275465	1	113834946	2285	0.000244589207016976	0.00830684192502126	0.000243697492644157	0.00630676092406807	0.98489811045125	1:113761186	0.513172863742739	1.5712e-07	7.9e-06	1.5712e-07	4e-08	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	LOMG	0.0186016535029508	0.0186435766349858	1	113834946	1758	0.00651201595271582	0.22049502688982	0.00171364333040976	0.0565941103341321	0.714685203492923	1:113834946	0.545625125487163	1.62873e-07	0.0003392	1.5712e-07	0.0003036	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	PBC	0.0459845394752888	0.0460252928719679	1	113834946	2214	0.00764050373053498	0.258584446159892	0.001597360290946	0.052701950881394	0.679475738937233	1:113761186	0.519118375550216	1.5712e-07	0.000555648	1.5712e-07	0.000471422	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	PM (M)	0.0129248561049709	HypoThy	3.29332994615147e-150	0.0129248561049709	1	113834946	4731	5.6592102849577e-147	2.92035871028612e-147	0.0465398031619194	0.0221536210392699	0.931306575798794	1:113834946	0.999896713662609	2.585e-05	6.60693e-153	2.585e-05	6.60693e-153	PC1, PC2, PC3, PC8, PC9, PC12, PC13	2.58497122099417e-05
1:113834946	PM (M)	0.0129248561049709	RA	9.96551927055028e-70	0.0129248561049709	1	113834946	4731	9.72465952208615e-67	5.01827864841454e-67	0.0466717030028267	0.022222086894572	0.931106210102609	1:113834946	0.998408103638326	2.585e-05	2.00124e-72	2.585e-05	2.00124e-72	PC1, PC2, PC3, PC8, PC9, PC12, PC13	2.58497122099417e-05
1:113834946	PM (M)	0.0129248561049709	HyperThy	4.28134171295523e-15	0.0129248561049751	1	113834946	5488	1.80102152536613e-12	1.05864025925036e-12	0.046777123982349	0.025981849124288	0.927241026890502	1:113834946	0.884356782731928	2.585e-05	1.69824365246175e-17	2.585e-05	1.69824365246175e-17	PC1, PC2, PC3, PC8, PC9, PC12, PC13	2.58497122099417e-05
1:113834946	PM (M)	0.0129248561049709	JIA	1.12884377929591e-10	0.0129248562163962	1	113834946	4143	1.01964734346308e-08	4.63240694792052e-09	0.0832968813152461	0.0360817482226698	0.880621355633204	1:113834946	0.564190356267829	2.585e-05	2.24896e-13	2.585e-05	9.18495e-14	PC1, PC2, PC3, PC8, PC9, PC12, PC13	2.58497122099417e-05
1:113834946	PM (M)	0.0129248561049709	MG	3.59520212941613e-08	0.0129248915923174	1	113834946	4875	5.32347977515458e-06	2.84056379054649e-06	0.0387593950872093	0.0195289790923811	0.941703461776844	1:113834946	0.832397783050822	2.585e-05	7.949e-11	2.585e-05	7.949e-11	PC1, PC2, PC3, PC8, PC9, PC12, PC13	2.58497122099417e-05
1:113834946	PM (M)	0.0129248561049709	MPO+ AAV	0.000702719914018709	0.0136184934652188	1	113834946	4183	0.101182066373393	0.0464232166309944	0.10764999420694	0.0479972635480626	0.69674745924061	1:113834946	0.743888147043846	2.585e-05	8.7e-06	2.585e-05	4e-08	PC1, PC2, PC3, PC8, PC9, PC12, PC13	2.58497122099417e-05
1:113834946	PM (M)	0.0129248561049709	LOMG	0.0186016535029508	0.0312860859130816	1	113834946	3382	0.4516323849082	0.175567355316677	0.196984923802207	0.0763769474216876	0.0994383885512285	1:113834946	0.711221830586884	2.585e-05	0.0003392	2.585e-05	0.0003036	PC1, PC2, PC3, PC8, PC9, PC12, PC13	2.58497122099417e-05
1:113834946	PM (R)	0.000104667942117495	HypoThy	3.29332994615147e-150	0.000104667942117498	1	113834946	2214	1.60381906590841e-148	6.68724351668283e-148	0.00131893709327447	0.00350906283032798	0.995172000076382	1:113834946	0.999735530232709	1.24733e-06	6.60693e-153	1.24733e-06	6.60693e-153	PC1, PC2, PC3, PC8, PC9, PC12, PC13	7.4408489656987e-07
1:113834946	PM (R)	0.000104667942117495	RA	9.96551927055028e-70	0.000104667942117498	1	113834946	2214	2.75015659269865e-68	1.14669835490264e-67	0.00131988674168165	0.00351303229860249	0.995167080959714	1:113834946	0.995933318831741	1.24733e-06	2.00124e-72	1.24733e-06	2.00124e-72	PC1, PC2, PC3, PC8, PC9, PC12, PC13	7.4408489656987e-07
1:113834946	PM (R)	0.000104667942117495	HyperThy	4.28134171295523e-15	0.000104667942121828	1	113834946	2290	4.34545624350318e-14	1.85747216006595e-13	0.00112862584957254	0.0031988740208144	0.995672500129383	1:113834946	0.749128018093318	1.24733e-06	1.69824365246175e-17	1.24733e-06	1.69824365246175e-17	PC1, PC2, PC3, PC8, PC9, PC12, PC13	7.4408489656987e-07
1:113834946	PM (R)	0.000104667942117495	JIA	1.12884377929591e-10	0.000104668054990098	1	113834946	2258	1.81717883369507e-10	7.76940362350782e-10	0.00148448712985023	0.00435865636794283	0.994156855543547	1:113761186	0.66422771274897	1.5184e-06	9.18495e-14	1.24733e-06	9.18495e-14	PC1, PC2, PC3, PC8, PC9, PC12, PC13	7.4408489656987e-07
1:113834946	PM (R)	0.000104667942117495	MG	3.59520212941613e-08	0.000104703890375757	1	113834946	2206	1.18461825502947e-07	5.02281232707603e-07	0.000862448105818601	0.00243677658925764	0.996700154561865	1:113834946	0.659780222870715	1.24733e-06	7.949e-11	1.24733e-06	7.949e-11	PC1, PC2, PC3, PC8, PC9, PC12, PC13	7.4408489656987e-07
1:113834946	PM (R)	0.000104667942117495	MPO+ AAV	0.000702719914018709	0.000807314303888918	1	113834946	2285	0.00270519355621388	0.011573529034081	0.00269533106062483	0.00958445169650602	0.973441494652574	1:113834946	0.536665777934262	1.24733e-06	8.7e-06	1.24733e-06	4e-08	PC1, PC2, PC3, PC8, PC9, PC12, PC13	7.4408489656987e-07
1:113834946	PM (R)	0.000104667942117495	LOMG	0.0186016535029508	0.0187043744482762	1	113834946	1758	0.060182760309911	0.253072738822259	0.0158371518988244	0.0653852932040183	0.605522055764987	1:113834946	0.586748707080729	1.24733e-06	0.0003392	1.24733e-06	0.0003036	PC1, PC2, PC3, PC8, PC9, PC12, PC13	7.4408489656987e-07
1:113834946	PM (R)	0.000104667942117495	PBC	0.0459845394752888	0.0460843943102902	1	113834946	2214	0.0703700132544157	0.293413031998052	0.0147118918870127	0.0602197626657632	0.561285300194756	1:113834946	0.51985308012363	1.24733e-06	0.000601257	1.24733e-06	0.000471422	PC1, PC2, PC3, PC8, PC9, PC12, PC13	7.4408489656987e-07
22:21585386	DM (R)	0.0358597025838692	SSc	0.00137768400000001	0.0371879832453746	22	21585386	533	0.0244222457520269	0.0263846145320098	0.0698552292919164	0.0738572538799971	0.80548065654405	22:21609497	0.35443341548362	0.000149894	1.75e-06	2.19379e-05	1.75e-06	PC2, PC3, PC8, PC9, PC12, PC13	0.000254926795619923
22:21585386	IIM (R)	0.00394517435644982	SSc	0.00137768400000001	0.00531742315286177	22	21585386	533	0.0107504171330832	0.0348767935414954	0.0307495412764384	0.0981074605204454	0.825515787528538	22:21609497	0.342329385705158	5.54654e-05	1.75e-06	1.23039e-06	1.75e-06	PC2, PC3, PC8, PC9, PC12, PC13	6.54412807941914e-05
2:190670850	PM (R)	4.47218205204439e-05	SSc	3.62710599999986e-06	4.83487643095915e-05	2	190670850	1348	3.20856356069637e-19	4.45568837580086e-17	0.00712463362408302	0.989381148034481	0.00349421834143378	2:191038032	0.999998189309115	0.00610401	1.942e-23	1.96228e-08	1.942e-23	PC2, PC9	1.05975878010531e-07
2:190670850	PM (R)	4.47218205204439e-05	HypoThy	5.22509465196477e-05	9.69704302825614e-05	2	190670850	2070	2.61811351359007e-32	6.37487809569021e-30	0.00408802094306118	0.995396419348956	0.000515559707986802	2:191099907	0.234310102589237	0.0265309	8.09655e-36	1.96228e-08	8.09655e-36	PC2, PC9	1.05975878010531e-07
2:190670850	PM (R)	4.47218205204439e-05	SjS	0.000465532084708715	0.000510233085786682	2	190670850	1720	2.21821557086699e-22	3.44739489706607e-20	0.00638802293456993	0.992780009596008	0.000831967469424693	2:191093930	0.543505289401261	0.0334875	1.656e-26	1.96228e-08	1.656e-26	PC2, PC9	1.05975878010531e-07
2:190670850	PM (R)	4.47218205204439e-05	JIA	0.044877554949256	0.0449202697638185	2	190670850	2134	1.2793843918493e-07	3.12961400415233e-05	0.0040690096992417	0.995354944400894	0.000544621821383817	2:191079016	0.20873774286437	0.0269291	1.82918e-10	1.96228e-08	1.82918e-10	PC2, PC9	1.05975878010531e-07
2:198029415	IIM (M)	0.0320748934060755	SjS	0.000658808818869929	0.0327125710023052	2	198029415	2489	0.012442191422075	0.0699820305795867	0.0594894124869544	0.333553557233092	0.524532808278292	2:198065082	0.0634219583813145	4.561e-06	0.0002281	4.561e-06	2.136e-05	PC8, PC9, PC13	0.000115545277250632
2:198029415	IIM (M)	0.0320748934060755	HypoThy	0.00733407116860326	0.0391737250237133	2	198029415	4062	0.0894212269565158	0.635274598176908	0.0269490871584026	0.191340181883678	0.0570149058244953	2:198065082	0.0401782209151817	4.561e-06	0.0113454	4.561e-06	0.000330096	PC8, PC9, PC13	0.000115545277250632
2:198029415	IIM (R)	0.00391851687033205	SjS	0.000658808818869929	0.00457474413573089	2	198029415	1667	0.00547178766529604	0.0577317084937159	0.0259364173751979	0.272372841414306	0.638487245051484	2:198032171	0.0310173021060785	3.09814e-05	2.136e-05	1.45254e-05	2.136e-05	PC8, PC9, PC13	3.12763202947042e-05
2:198029415	IIM (R)	0.00391851687033205	HypoThy	0.00733407116860326	0.011223849357333	2	198029415	2091	0.0598979842011221	0.710772087707792	0.0127104373922271	0.150694998386698	0.0659244923121614	2:198056880	0.0222673268899349	0.000139201	0.000421066	1.45254e-05	0.000330096	PC8, PC9, PC13	3.12763202947042e-05
3:28029953	IIM (R)	0.0225633600754077	SjS	0.00113208579174585	0.0236699022077982	3	28029953	1916	0.21313352324887	0.0675576461280055	0.286607525160535	0.0901618675231152	0.342539437939475	3:28033394	0.182493946587807	5.70155e-05	0.0001853	4.01821e-05	1.419e-05	PC2, PC8, PC9, PC12	0.00116126457762478
3:28029953	IIM (R)	0.0225633600754077	SSc	0.011979007894737	0.0342720813016696	3	28029953	1303	0.0352538789166857	0.00839299870437395	0.348899935005027	0.0820127931230627	0.525440394250851	3:28033679	0.24420510413305	0.00105722	5.865e-07	4.01821e-05	5.865e-07	PC2, PC8, PC9, PC12	0.00116126457762478
4:122194347	IIM (R)	0.0386809397521887	JIA	0.0103031240312601	0.0485855292635363	4	122194347	3971	0.264709664043215	0.158954418455283	0.333831658956404	0.200376946530737	0.0421273120143609	4:122629959	0.0917717757371101	0.000540167	0.000666016	0.000540167	1.31871e-05	PC8, PC13	0.00219986387216239
5:157185077	DM (R)	0.0358597025838692	HypoThy	8.51939992351154e-05	0.0359418415516298	5	157185077	2521	0.0411321371035352	0.0617708517242147	0.0945495043592936	0.140868233375281	0.661679273437676	5:157190438	0.0485225949356321	7.42204e-05	1.0937e-05	3.57766e-05	5.08581e-07	PC2, PC8, PC12, PC13	0.000138488422414902
5:157185077	DM (R)	0.0358597025838692	HyperThy	0.000263237105944758	0.0361135000854858	5	157185077	2613	0.000560912836524041	0.000871503617511147	0.07037932835498	0.108312416198776	0.819875838992209	5:157190576	0.122227684038716	3.7826e-05	1.20226443461741e-07	3.57766e-05	6.80769358693742e-08	PC2, PC8, PC12, PC13	0.000138488422414902
5:157185077	IIM (R)	0.014244100825671	HypoThy	8.51939992351154e-05	0.0143280813129912	5	157185077	2521	0.0898950340627492	0.0407865997442259	0.206639662160035	0.0927879975742136	0.569890706458776	5:157190438	0.0569906787906444	0.00045643	1.0937e-05	0.000336095	5.08581e-07	PC2, PC8, PC12, PC13	0.000607568281663691
5:157185077	IIM (R)	0.014244100825671	HyperThy	0.000263237105944758	0.0145035883557376	5	157185077	2613	0.00185399947277605	0.000877502183407226	0.232626585037822	0.109273270742896	0.655368642563099	5:157190576	0.104693253648904	0.000621833	1.20226443461741e-07	0.000336095	6.80769358693742e-08	PC2, PC8, PC12, PC13	0.000607568281663691
7:128954129	IIM (R)	0.00391851687033205	SjS	1.66662483225917e-31	0.00391851687033207	7	128954129	1259	3.97608675279485e-34	6.81045073462602e-34	0.0612087181046822	0.103170273044447	0.835621008850878	7:128936032	0.994648052228478	8.97998e-05	9.768e-40	5.86433e-05	9.768e-40	PC1, PC2, PC8, PC12	5.57135100047211e-05
7:128954129	IIM (R)	0.00391851687033205	SSc	2.28272099999989e-17	0.00391851687033207	7	128954129	662	2.23164800921992e-17	3.2039189067075e-17	0.0374792322471988	0.0519868895511904	0.910533878201612	7:129023119	0.0729564940896862	6.41047e-05	3.31e-21	5.86433e-05	3.104e-21	PC1, PC2, PC8, PC12	5.57135100047211e-05
7:128954129	IIM (R)	0.00391851687033205	SLE	5.16217941030468e-08	0.00391856828984527	7	128954129	1624	1.54963770970203e-07	2.93960865068403e-07	0.0747988853461154	0.140455452901242	0.784745212828008	7:128936032	0.285087036660739	8.97998e-05	7.14167e-12	5.86433e-05	4.52376e-12	PC1, PC2, PC8, PC12	5.57135100047211e-05
7:128954129	IIM (R)	0.00391851687033205	RA	1.71668848386429e-05	0.00393561648644292	7	128954129	1624	0.000413316703587363	0.000784047361348248	0.049109629479665	0.091589647566482	0.858103358888917	7:129061277	0.0397713892230644	5.86433e-05	4.80751e-07	5.86433e-05	2.34666e-07	PC1, PC2, PC8, PC12	5.57135100047211e-05
7:128954129	IIM (R)	0.00391851687033205	HypoThy	2.91485051014111e-05	0.00394755115652445	7	128954129	1624	0.00278712850743963	0.00528708550375493	0.0895076431249083	0.168450332880073	0.733967809983824	7:129068743	0.0460843301834585	6.93464e-05	1.79193e-06	5.86433e-05	5.76899e-07	PC1, PC2, PC8, PC12	5.57135100047211e-05
7:128954129	IIM (R)	0.00391851687033205	MPO+ AAV	0.000500103505513259	0.00441666071182201	7	128954129	1682	0.00216113443676307	0.004322208890604	0.0384254921468496	0.0750899152843764	0.880001249241407	7:129061277	0.0467794177070034	5.86433e-05	6.5e-07	5.86433e-05	4.8e-07	PC1, PC2, PC8, PC12	5.57135100047211e-05
7:128954129	IIM (R)	0.00391851687033205	JIA	0.0140718848458454	0.0179352607980117	7	128954129	1669	0.0149907872031016	0.0299592992234606	0.244382063041522	0.487955568145786	0.22271228238613	7:128929972	0.166655278188472	0.00130207	8.77895e-07	5.86433e-05	8.77895e-07	PC1, PC2, PC8, PC12	5.57135100047211e-05
8:11491677	IIM (R)	0.00444802184257777	SSc	9.5158933333328e-11	0.00444802193731342	8	11491677	1609	6.82346278439046e-16	1.6159172970834e-16	0.10913868546593	0.0241124833590138	0.866748831175058	8:11486464	0.999999969960655	0.000192214	3.331e-21	2.83624e-05	3.331e-21	PC1, PC2, PC3, PC9, PC12, PC13	9.48630250786728e-05
8:11491677	IIM (R)	0.00444802184257777	SjS	3.36378997174173e-05	0.0044815101201825	8	11491677	3529	0.000896995323595046	0.000771932725653607	0.215382767777975	0.1841556742458	0.598792629926976	8:11480078	0.220668270889876	4.81732e-05	3.569e-07	2.83624e-05	3.767e-08	PC1, PC2, PC3, PC9, PC12, PC13	9.48630250786728e-05
8:11491677	IIM (R)	0.00444802184257777	SLE	0.000101062729897019	0.00454863504324476	8	11491677	5189	0.000828980330895792	0.00095378638413277	0.205967549063152	0.236152449800583	0.556097234421236	8:11484361	0.145822595219373	2.83624e-05	8.76133e-07	2.83624e-05	1.00784e-07	PC1, PC2, PC3, PC9, PC12, PC13	9.48630250786728e-05
8:11491677	IIM (R)	0.00444802184257777	RA	0.000168182976960216	0.00461545673798292	8	11491677	5189	0.0127412194404535	0.0146594571265889	0.0422748386956136	0.0473306542807402	0.882993830456604	8:11484361	0.139557284996836	2.83624e-05	6.51058e-06	2.83624e-05	2.21427e-06	PC1, PC2, PC3, PC9, PC12, PC13	9.48630250786728e-05
